value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
2022.0,number,workforce_augmentation,unknown,"blue-collar and less educated workers (Acemoglu and Restrepo 2022), which has been compounded by",7,17,0.7,2024,pattern_matching,[],Acemoglu,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763301
90.0,number,ai_implementation_count,unknown,The author also estimates that AI could reduce 90:10 wage inequality,7,24,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763302
10.0,number,ai_implementation_count,unknown,The author also estimates that AI could reduce 90:10 wage inequality,7,24,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763303
10.0,percentage,ai_adoption_rate,unknown,This finding is under the assumption that the wage elasticity to AI exposure is the same,7,25,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763304
52.0,number,ai_implementation_count,unknown,", oral com-",7,29,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763304
80.0,percentage,job_displacement,unknown,that up to 80% of US workforce could have at least 10% of their tasks replaced and 19% of workers,8,1,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763305
80.0,number,job_displacement,unknown,that up to 80% of US workforce could have at least 10% of their tasks replaced and 19% of workers,8,1,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763306
10.0,percentage,job_displacement,unknown,that up to 80% of US workforce could have at least 10% of their tasks replaced and 19% of workers,8,1,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763307
10.0,number,job_displacement,unknown,that up to 80% of US workforce could have at least 10% of their tasks replaced and 19% of workers,8,1,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763308
19.0,percentage,job_displacement,unknown,that up to 80% of US workforce could have at least 10% of their tasks replaced and 19% of workers,8,1,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763308
19.0,number,job_displacement,unknown,that up to 80% of US workforce could have at least 10% of their tasks replaced and 19% of workers,8,1,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763309
50.0,percentage,workforce_augmentation,unknown,This analysis also shows that about 15% of all worker,8,2,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763310
50.0,number,workforce_augmentation,unknown,This analysis also shows that about 15% of all worker,8,2,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763311
15.0,percentage,workforce_augmentation,unknown,This analysis also shows that about 15% of all worker,8,2,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763311
15.0,number,workforce_augmentation,unknown,This analysis also shows that about 15% of all worker,8,2,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763312
5.5,percentage,ai_budget_percentage,energy_utilities,"4% to augmentation from AI, while",8,9,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763313
5.5,number,workforce_augmentation,energy_utilities,"4% to augmentation from AI, while",8,9,0.6080000000000001,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763314
5.0,number,workforce_augmentation,energy_utilities,"4% to augmentation from AI, while",8,9,0.6080000000000001,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763314
13.4,percentage,ai_budget_percentage,energy_utilities,"4% to augmentation from AI, while",8,9,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763317
13.4,number,workforce_augmentation,energy_utilities,"4% to augmentation from AI, while",8,9,0.6080000000000001,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763317
4.0,number,workforce_augmentation,energy_utilities,"4% to augmentation from AI, while",8,9,0.6080000000000001,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763318
0.4,percentage,ai_adoption_rate,unknown,"Interestingly, the earli-",8,10,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Interestingly,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763319
10.4,percentage,ai_adoption_rate,unknown,"Interestingly, the earli-",8,10,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Interestingly,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763320
2017.0,number,ai_implementation_count,professional_services,(Frey and Osborne 2017) found a negatively sloped relation between IT (Information Technology)-driven,8,12,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Frey,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763320
1980.0,number,workforce_augmentation,unknown,"In the model, technology substitutes routine tasks, augments",9,4,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763321
10.0,percentage,workforce_augmentation,unknown,"that workers with the highest labor-saving exposure will lose 10% of their earnings from AI, the model",9,7,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763322
10.0,number,workforce_augmentation,unknown,"that workers with the highest labor-saving exposure will lose 10% of their earnings from AI, the model",9,7,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763323
4.0,percentage,ai_adoption_rate,unknown,This effect stems from,9,9,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763323
8.0,percentage,ai_adoption_rate,unknown,"work, production and transportation stand to lose the most (6-8%), while higher-skilled occupations like",9,12,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763324
19.0,percentage,ai_adoption_rate,unknown,"7 By the same token, Briggs",9,17,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Briggs,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763325
19.0,number,ai_implementation_count,unknown,"7 By the same token, Briggs",9,17,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Briggs,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763326
25.0,percentage,net_employment_change,unknown,"and Kodnani (2023) find an employment exposure of 25% for the US, 24% for the euro area, and 18%",9,18,0.7,2024,pattern_matching,[],Kodnani,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763326
25.0,number,net_employment_change,unknown,"and Kodnani (2023) find an employment exposure of 25% for the US, 24% for the euro area, and 18%",9,18,0.7,2024,pattern_matching,[],Kodnani,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763327
24.0,percentage,net_employment_change,unknown,"and Kodnani (2023) find an employment exposure of 25% for the US, 24% for the euro area, and 18%",9,18,0.7,2024,pattern_matching,[],Kodnani,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763328
24.0,number,net_employment_change,unknown,"and Kodnani (2023) find an employment exposure of 25% for the US, 24% for the euro area, and 18%",9,18,0.7,2024,pattern_matching,[],Kodnani,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763329
18.0,percentage,net_employment_change,unknown,"and Kodnani (2023) find an employment exposure of 25% for the US, 24% for the euro area, and 18%",9,18,0.7,2024,pattern_matching,[],Kodnani,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763329
18.0,number,net_employment_change,unknown,"and Kodnani (2023) find an employment exposure of 25% for the US, 24% for the euro area, and 18%",9,18,0.7,2024,pattern_matching,[],Kodnani,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763330
8.0,percentage,time_savings,unknown,"predicting that 8% of hours currently worked will be automated by 2030 because of gen-AI, ranging from",9,20,0.7,2030,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763331
8.0,number,job_displacement,unknown,"predicting that 8% of hours currently worked will be automated by 2030 because of gen-AI, ranging from",9,20,0.7,2030,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763332
2030.0,number,job_displacement,unknown,"predicting that 8% of hours currently worked will be automated by 2030 because of gen-AI, ranging from",9,20,0.7,2030,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763332
16.0,percentage,time_savings,unknown,"around 16% of all hours in STEM (science, technology, engineering, and math), education, and business",9,21,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763333
16.0,number,ai_implementation_count,unknown,"around 16% of all hours in STEM (science, technology, engineering, and math), education, and business",9,21,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763334
2.0,number,workforce_augmentation,unknown,authors use worker-level microdata from 2 advanced economies (AEs: US and UK) and 4 emerging,9,28,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763335
4.0,number,workforce_augmentation,unknown,authors use worker-level microdata from 2 advanced economies (AEs: US and UK) and 4 emerging,9,28,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763335
6.0,number,workforce_augmentation,unknown,org social-trends 2023 07 26 exposure-of-workers-to-ai,9,33,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763336
7.0,number,workforce_augmentation,unknown,org social-trends 2023 07 26 exposure-of-workers-to-ai,9,33,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763337
2023.0,number,workforce_augmentation,unknown,org social-trends 2023 07 26 exposure-of-workers-to-ai,9,33,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763338
26.0,number,workforce_augmentation,unknown,org social-trends 2023 07 26 exposure-of-workers-to-ai,9,33,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763339
23.0,percentage,job_creation,unknown,Only 23% of exposed jobs,10,4,0.5599999999999999,2024,pattern_matching,[],Only,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763339
23.0,number,job_creation,unknown,Only 23% of exposed jobs,10,4,0.5599999999999999,2024,pattern_matching,[],Only,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763340
8.0,percentage,ai_budget_percentage,energy_utilities,non-farm businesses have at leas one task that is economically attractive to,10,5,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763341
8.0,number,ai_implementation_count,energy_utilities,non-farm businesses have at leas one task that is economically attractive to,10,5,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763342
2010.0,number,job_creation,unknown,Job postings listing AI,10,16,0.5599999999999999,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763342
2019.0,number,job_creation,unknown,Job postings listing AI,10,16,0.5599999999999999,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763343
5.0,percentage,job_creation,unknown,"skills command a 5% wage premium compared to other same-firm, same-job postings, and firms that",10,17,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763344
5.0,count,job_creation,unknown,"skills command a 5% wage premium compared to other same-firm, same-job postings, and firms that",10,17,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763345
2010.0,number,ai_implementation_count,unknown,employ similar data for 2010-2018 and find that establishments that increase postings related to ML skills,10,19,0.5599999999999999,2010,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763345
2018.0,number,ai_implementation_count,unknown,employ similar data for 2010-2018 and find that establishments that increase postings related to ML skills,10,19,0.5599999999999999,2010,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763346
2010.0,number,ai_implementation_count,unknown,Consistent with,10,32,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Consistent,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763347
13.0,number,job_creation,professional_services,"in the IT, finance, and professional services industries, as a well as a 13 to 17% salary premium for job",11,1,0.733,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763347
17.0,percentage,job_creation,professional_services,"in the IT, finance, and professional services industries, as a well as a 13 to 17% salary premium for job",11,1,0.733,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763348
17.0,number,job_creation,professional_services,"in the IT, finance, and professional services industries, as a well as a 13 to 17% salary premium for job",11,1,0.733,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763349
86.0,number,ai_implementation_count,unknown,Their findings link AI-related investments,11,4,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Their,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763350
2023.0,number,job_creation,professional_services,World Economic Forum (WEF) Future of Jobs Survey (World Economic Forum 2023) predicts that 23%,11,10,0.76,2024,pattern_matching,[],World Economic Forum,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763350
23.0,percentage,job_creation,professional_services,World Economic Forum (WEF) Future of Jobs Survey (World Economic Forum 2023) predicts that 23%,11,10,0.76,2024,pattern_matching,[],World Economic Forum,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763351
23.0,number,job_creation,professional_services,World Economic Forum (WEF) Future of Jobs Survey (World Economic Forum 2023) predicts that 23%,11,10,0.76,2024,pattern_matching,[],World Economic Forum,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763352
100.0,number,ai_implementation_count,unknown,"(2023) conducted 100 case studies of AI applications over the period 2021-2022 in Austria, Canada,",11,14,0.7,2024,pattern_matching,[],Austria,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763353
23.0,count,job_creation,unknown,Only 23% of firms stated that job quantities,11,15,0.5599999999999999,2024,pattern_matching,[],Only,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763353
803.0,number,ai_implementation_count,energy_utilities,These span across 27 industry clusters and 45 economies.,11,30,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763354
11.3,millions_usd,ai_investment_amount,energy_utilities,These span across 27 industry clusters and 45 economies.,11,30,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763356
11.3,number,ai_implementation_count,energy_utilities,These span across 27 industry clusters and 45 economies.,11,30,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763357
3.0,number,ai_implementation_count,energy_utilities,These span across 27 industry clusters and 45 economies.,11,30,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763357
27.0,number,ai_implementation_count,energy_utilities,These span across 27 industry clusters and 45 economies.,11,30,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763358
45.0,number,ai_implementation_count,energy_utilities,These span across 27 industry clusters and 45 economies.,11,30,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763359
2.4,number,job_displacement,education,4 Policies to Mitigate Displacement and Ease Labor Reallocation,12,0,0.76,2024,pattern_matching,[],Policies,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763360
4.0,number,job_displacement,education,4 Policies to Mitigate Displacement and Ease Labor Reallocation,12,0,0.76,2024,pattern_matching,[],Policies,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763360
9.0,number,ai_implementation_count,unknown,"9 This study also points out that AI itself might be used to deliver customized training,",12,11,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763361
10.0,number,ai_implementation_count,education,pdf,12,33,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763362
33.0,percentage,productivity_improvement,unknown,argue that AI could increase aggregate productivity by 33% over 20 years through its impact on knowledge,13,27,0.7,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763363
6.8,percentage,workforce_augmentation,unknown,"8% in sales per worker, while Czarnitzki, Fern andez, and Rammer",14,13,0.7,2024,pattern_matching,[],Czarnitzki,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763363
8.0,number,workforce_augmentation,unknown,"8% in sales per worker, while Czarnitzki, Fern andez, and Rammer",14,13,0.7,2024,pattern_matching,[],Czarnitzki,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763364
4.4,percentage,ai_adoption_rate,unknown,,14,14,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763365
2022.0,number,ai_implementation_count,financial_services,5pp annually for the 10 years following widespread,14,17,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763365
2040.0,number,ai_implementation_count,financial_services,5pp annually for the 10 years following widespread,14,17,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763366
1.5,number,ai_implementation_count,financial_services,5pp annually for the 10 years following widespread,14,17,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763367
5.0,number,ai_implementation_count,financial_services,5pp annually for the 10 years following widespread,14,17,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763368
1.3,percentage,ai_adoption_rate,unknown,3 percentage,14,19,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763369
850.0,count,ai_implementation_count,professional_services,"In the US, the Annual Business Survey of 850,000 firms, curated",14,21,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Annual Business Survey,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763369
0.0,count,ai_implementation_count,professional_services,"In the US, the Annual Business Survey of 850,000 firms, curated",14,21,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Annual Business Survey,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763370
18.0,percentage,ai_adoption_rate,unknown,"by the Census, shows that the average adoption of AI technologies was just over 18% in 2018, when",14,22,0.7,2018,pattern_matching,[],Census,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763371
18.0,number,ai_implementation_count,unknown,"by the Census, shows that the average adoption of AI technologies was just over 18% in 2018, when",14,22,0.5599999999999999,2018,pattern_matching,['Missing required context keywords'],Census,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763372
2018.0,number,ai_implementation_count,unknown,"by the Census, shows that the average adoption of AI technologies was just over 18% in 2018, when",14,22,0.5599999999999999,2018,pattern_matching,['Missing required context keywords'],Census,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763372
2023.0,number,ai_implementation_count,financial_services,Few  superstar  cities and emerging hubs were leaders in early adoption,14,24,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763373
7.9,percentage,ai_adoption_rate,unknown,9% and Big Data used,14,27,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Big Data,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763374
14.0,percentage,ai_adoption_rate,unknown,"21 out of 27 countries do not exceed 10% of AI usage, while Denmark",14,28,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Denmark,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763374
14.0,number,ai_implementation_count,unknown,"21 out of 27 countries do not exceed 10% of AI usage, while Denmark",14,28,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Denmark,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763375
21.0,number,ai_implementation_count,unknown,"21 out of 27 countries do not exceed 10% of AI usage, while Denmark",14,28,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Denmark,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763376
27.0,number,ai_implementation_count,unknown,"21 out of 27 countries do not exceed 10% of AI usage, while Denmark",14,28,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Denmark,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763377
23.9,percentage,ai_adoption_rate,unknown,7% are the,14,29,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763377
17.3,percentage,ai_adoption_rate,unknown,7% are the,14,29,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763378
17.3,number,ai_implementation_count,unknown,7% are the,14,29,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763379
15.8,percentage,ai_adoption_rate,unknown,7% are the,14,29,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763380
13.1,percentage,ai_adoption_rate,unknown,7% are the,14,29,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763380
13.0,percentage,ai_adoption_rate,unknown,7% are the,14,29,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763381
