original_id,value,unit,year,metric_type,context_preview,reason,confidence,proposed_action,kept_record_id
5577,20.8,percentage,2013,percentages,". since surpassing japan in 2013, when china accounted for 20.8% of global installations, its share ...",Passed all validation checks,0.85,KEEP,
5578,51.1,percentage,2025,percentages,"d for 20.8% of global installations, its share has risen to 51.1%. while china continues to install ...",Passed all validation checks,0.85,KEEP,
5579,2.8,percentage,2017,percentages,"e common. in 2017, collaborative robots represented a mere 2.8% of all new industrial robot installa...",Passed all validation checks,0.85,KEEP,
5580,10.5,percentage,2023,percentages,"ew industrial robot installations, a figure that climbed to 10.5% by 2023. similarly, 2023 saw a ris...",Passed all validation checks,0.85,KEEP,
5581,96.0,percentage,2025,percentages,. openai’s recently released o1 set a new state- of-the-art 96.0% on the medqa benchmark—a 5.8 perce...,Passed all validation checks,0.85,KEEP,
5582,31.0,percentage,2025,percentages,"ence databases has grown significantly, including uniprot (31%), pdb (23%), and alphafold (585%). th...",Passed all validation checks,0.85,KEEP,
5583,23.0,percentage,2025,percentages,"ases has grown significantly, including uniprot (31%), pdb (23%), and alphafold (585%). this expansi...",Passed all validation checks,0.85,KEEP,
5584,585.0,percentage,2025,percentages,"icantly, including uniprot (31%), pdb (23%), and alphafold (585%). this expansion has important impl...",Passed all validation checks,0.85,KEEP,
5585,21.3,percentage,2024,growth_rate,"tries, ai mentions in legislative proceedings increased by 21.3% in 2024, rising to 1,889 from 1,557...",Passed all validation checks,0.85,KEEP,
5586,81.0,percentage,2025,adoption_rate,to teach ai but do not feel equipped to do so. despite the 81% of cs teachers who agree that using a...,Duplicate record (keeping first occurrence),0.9,REMOVE,5519.0
5587,52.0,percentage,2022,percentages,nd services as more beneficial than harmful has risen from 52% in 2022 to 55% in 2024. 2. the expect...,Passed all validation checks,0.85,KEEP,
5588,55.0,percentage,2022,percentages,more beneficial than harmful has risen from 52% in 2022 to 55% in 2024. 2. the expectation and ackno...,Passed all validation checks,0.85,KEEP,
5589,17.0,percentage,2022,percentages,"s perception since 2022, with the largest jumps in canada (17%) and germany (15%). 3. skepticism abo...",Passed all validation checks,0.85,KEEP,
5590,15.0,percentage,2022,percentages,"e 2022, with the largest jumps in canada (17%) and germany (15%). 3. skepticism about the ethical co...",Passed all validation checks,0.85,KEEP,
5591,50.0,percentage,2023,percentages,"onfidence that ai companies protect personal data fell from 50% in 2023 to 47% in 2024. likewise, fe...",Passed all validation checks,0.85,KEEP,
5592,47.0,percentage,2023,percentages,"ai companies protect personal data fell from 50% in 2023 to 47% in 2024. likewise, fewer people toda...",Passed all validation checks,0.85,KEEP,
5593,83.0,percentage,2025,percentages,"ffer more benefits than drawbacks in countries like china (83%), indonesia (80%), and thailand (77%)...",Duplicate record (keeping first occurrence),0.9,REMOVE,5502.0
5594,80.0,percentage,2025,percentages,"s than drawbacks in countries like china (83%), indonesia (80%), and thailand (77%), while only a mi...",Duplicate record (keeping first occurrence),0.9,REMOVE,5503.0
5595,77.0,percentage,2025,percentages,"countries like china (83%), indonesia (80%), and thailand (77%), while only a minority share this vi...",Duplicate record (keeping first occurrence),0.9,REMOVE,5504.0
5596,40.0,percentage,2025,percentages,"nd (77%), while only a minority share this view in canada (40%), the united states (39%), and the ne...",Duplicate record (keeping first occurrence),0.9,REMOVE,5505.0
5597,39.0,percentage,2025,percentages,"nority share this view in canada (40%), the united states (39%), and the netherlands (36%). chapter ...",Duplicate record (keeping first occurrence),0.9,REMOVE,5506.0
5598,36.0,percentage,2025,percentages,"anada (40%), the united states (39%), and the netherlands (36%). chapter 7: education (cont’d) chapt...",Passed all validation checks,0.85,KEEP,
5599,109.1,billions_usd,2024,investment,"tivity impacts. in 2024, u.s. private ai investment grew to $109.1 billion—nearly 12 times china’s $...",Passed all validation checks,0.85,KEEP,
5600,9.3,billions_usd,2025,investment,i investment grew to $109.1 billion—nearly 12 times china’s $9.3 billion and 24 times the u.k.’s $4....,Passed all validation checks,0.85,KEEP,
5601,4.5,billions_usd,2025,dollar_amounts,arly 12 times china’s $9.3 billion and 24 times the u.k.’s $4.5 billion. generative ai saw particula...,Passed all validation checks,0.85,KEEP,
5602,33.9,billions_usd,2023,investment,"generative ai saw particularly strong momentum, attracting $33.9 billion globally in private investm...",Passed all validation checks,0.85,KEEP,
5603,2.4,billions_usd,2025,dollar_amounts,"ention, governments are investing at scale: canada pledged $2.4 billion, china launched a $47.5 bill...",Passed all validation checks,0.85,KEEP,
5604,47.5,billions_usd,2025,dollar_amounts,"ing at scale: canada pledged $2.4 billion, china launched a $47.5 billion semiconductor fund, france...",Passed all validation checks,0.85,KEEP,
5605,1.25,billions_usd,2025,dollar_amounts,"nductor fund, france committed €109 billion, india pledged $1.25 billion, and saudi arabia’s project...",Passed all validation checks,0.85,KEEP,
5606,100.0,billions_usd,2025,dollar_amounts,"lion, and saudi arabia’s project transcendence represents a $100 billion initiative. 9. ai and compu...",Passed all validation checks,0.85,KEEP,
5607,20.0,usd,2022,dollar_amounts,"mark for assessing language model performance, dropped from $20.00 per million tokens in november 20...",Passed all validation checks,0.85,KEEP,
5608,0.07,usd,2022,dollar_amounts,ed from $20.00 per million tokens in november 2022 to just $0.07 per million tokens by october 2024 ...,Passed all validation checks,0.85,KEEP,
5609,252.3,billions_usd,2024,investment,"ecord high with 26% growth. corporate ai investment reached $252.3 billion in 2024, with private inv...",Passed all validation checks,0.85,KEEP,
5610,33.9,billions_usd,2024,investment,"funding soars. private investment in generative ai reached $33.9 billion in 2024, up 18.7% from 2023...",Passed all validation checks,0.85,KEEP,
5611,109.1,billions_usd,2024,investment,"lobal ai private investment. u.s. private ai investment hit $109.1 billion in 2024, nearly 12 times ...",Duplicate record (keeping first occurrence),0.9,REMOVE,5599.0
5612,9.3,billions_usd,2024,dollar_amounts,"109.1 billion in 2024, nearly 12 times higher than china’s $9.3 billion and 24 times the u.k.’s $4.5...",Passed all validation checks,0.85,KEEP,
5613,4.5,billions_usd,2025,dollar_amounts,es higher than china’s $9.3 billion and 24 times the u.k.’s $4.5 billion. the gap is even more prono...,Duplicate record (keeping first occurrence),0.9,REMOVE,5601.0
5614,25.4,billions_usd,2023,dollar_amounts,"ined total of china and the european union plus the u.k. by $25.4 billion, expanding on its $21.8 bi...",Passed all validation checks,0.85,KEEP,
5615,21.8,billions_usd,2023,dollar_amounts,"ean union plus the u.k. by $25.4 billion, expanding on its $21.8 billion gap in 2023. 4. use of ai c...",Passed all validation checks,0.85,KEEP,
5616,1.6,billions_usd,2025,energy,tracting interest in nuclear energy. microsoft announced a $1.6 billion deal to revive the three mil...,Passed all validation checks,0.85,KEEP,
5617,2.4,billions_usd,2025,dollar_amounts,"s the world invest in ai infrastructure. canada announced a $2.4 billion ai infrastructure package, ...",Duplicate record (keeping first occurrence),0.9,REMOVE,5603.0
5618,47.5,billions_usd,2025,dollar_amounts,"billion ai infrastructure package, while china launched a $47.5 billion fund to boost semiconductor ...",Duplicate record (keeping first occurrence),0.9,REMOVE,5604.0
5619,117.0,billions_usd,2025,dollar_amounts,"on fund to boost semiconductor production. france committed $117 billion to ai infrastructure, india...",Passed all validation checks,0.85,KEEP,
5620,1.25,billions_usd,2025,dollar_amounts,"committed $117 billion to ai infrastructure, india pledged $1.25 billion, and saudi arabia’s project...",Duplicate record (keeping first occurrence),0.9,REMOVE,5605.0
5621,100.0,billions_usd,2025,investment,"illion, and saudi arabia’s project transcendence includes a $100 billion investment in ai. 3. across...",Duplicate record (keeping first occurrence),0.9,REMOVE,5606.0
5622,20.0,usd,2022,dollar_amounts,"mark for assessing language model performance, dropped from $20.00 per million tokens in november 20...",Duplicate record (keeping first occurrence),0.9,REMOVE,5607.0
5623,0.07,usd,2022,dollar_amounts,ed from $20.00 per million tokens in november 2022 to just $0.07 per million tokens by october 2024 ...,Duplicate record (keeping first occurrence),0.9,REMOVE,5608.0
5624,20.0,usd,2022,dollar_amounts,"ark for assessing language model performance, dropped from $20 per million tokens in november 2022 t...",Duplicate record (keeping first occurrence),0.9,REMOVE,5607.0
5625,0.07,usd,2022,dollar_amounts,opped from $20 per million tokens in november 2022 to just $0.07 per million tokens by october 2024 ...,Duplicate record (keeping first occurrence),0.9,REMOVE,5608.0
5626,15.0,usd,2024,cost,"benchmark than mmlu. there, inference costs declined from $15 per million tokens in may 2024 to $0.1...",Passed all validation checks,0.85,KEEP,
5627,0.12,usd,2024,cost,costs declined from $15 per million tokens in may 2024 to $0.12 per million tokens by december 2024 ...,Passed all validation checks,0.85,KEEP,
5628,100.0,millions_usd,2024,dollar_amounts,"tman, for instance, indicated that training gpt-4 exceeded $100 million. in july 2024, anthropic ceo...",Passed all validation checks,0.85,KEEP,
5629,1.0,billions_usd,2025,cost,dario amodei noted that model training runs costing around $1 billion were already underway. even mo...,Passed all validation checks,0.85,KEEP,
5630,6.0,millions_usd,2025,cost,"nt models, such as deepseek-v3, reportedly cost less—about $6 million—but overall, training remains ...",Passed all validation checks,0.85,KEEP,
5631,670.0,usd,2019,cost,"ure that underpins virtually every modern llm, cost around $670 to train. roberta large, released in...",Passed all validation checks,0.85,KEEP,
5632,160.0,usd,2023,cost,"comprehension benchmarks like squad and glue, cost around $160,000 to train. fast-forward to 2023, a...",Passed all validation checks,0.85,KEEP,
5633,79.0,millions_usd,2024,cost,nd training costs for openai’s gpt-4 were estimated around $79 million. one of the few 2024 models f...,Passed all validation checks,0.85,KEEP,
5634,170.0,millions_usd,2025,cost,"aining costs was llama 3.1-405b, with an estimated cost of $170 million. as the ai landscape grows m...",Passed all validation checks,0.85,KEEP,
5635,650.0,millions_usd,2025,dollar_amounts,"ter the model’s release, microsoft acquired inflection for $650 million. figure 2.1.6 source: inflec...",Passed all validation checks,0.85,KEEP,
5636,2.5,usd,2025,cost,"th a financial and latency cost. for example, gpt-4o costs $2.50 per 1 million input tokens and $10 ...",Passed all validation checks,0.85,KEEP,
5637,10.0,usd,2025,cost,"example, gpt-4o costs $2.50 per 1 million input tokens and $10 per 1 million output tokens. converse...",Passed all validation checks,0.85,KEEP,
5638,15.0,usd,2025,cost,"and $10 per 1 million output tokens. conversely, o1 costs $15 per 1 million input tokens and $60 per...",Passed all validation checks,0.85,KEEP,
5639,60.0,usd,2025,cost,"s. conversely, o1 costs $15 per 1 million input tokens and $60 per 1 million output tokens.8 moreove...",Passed all validation checks,0.85,KEEP,
5640,200.0,usd,2024,dollar_amounts,"he full version of o1 (as well as access to chatgpt pro, a $200 monthly subscription enabling access...",Passed all validation checks,0.85,KEEP,
5641,10.0,usd,2025,dollar_amounts,"allocated a high- compute budget exceeding the benchmark’s $10,000 limit, it achieved a score of 87....",Duplicate record (keeping first occurrence),0.9,REMOVE,5637.0
5642,30.0,usd,2026,dollar_amounts,"s, which is set for production in 2026 at a price of under $30,000. tesla also unveiled the robovan,...",Passed all validation checks,0.85,KEEP,
5643,30.0,usd,2025,dollar_amounts,"cities in china (figure 2.9.12). with a price tag of just $30,000 and a battery-swapping system, the...",Passed all validation checks,0.85,KEEP,
5644,10.0,billions_usd,2025,investment,erprises—particularly those with annual revenues exceeding $10 billion—demonstrated higher total inv...,Passed all validation checks,0.85,KEEP,
5645,10.0,billions_usd,2025,investment,"al investment into rai. notably, 27% of organizations with $10 billion–$30 billion in revenue and 21...",Duplicate record (keeping first occurrence),0.9,REMOVE,5644.0
5646,30.0,billions_usd,2025,revenue,"t into rai. notably, 27% of organizations with $10 billion–$30 billion in revenue and 21% of those e...",Passed all validation checks,0.85,KEEP,
5647,30.0,billions_usd,2025,revenue,billion–$30 billion in revenue and 21% of those exceeding $30 billion invest $10 million–$25 million...,Duplicate record (keeping first occurrence),0.9,REMOVE,5646.0
5648,10.0,millions_usd,2025,revenue,n in revenue and 21% of those exceeding $30 billion invest $10 million–$25 million in rai. these fin...,Passed all validation checks,0.85,KEEP,
5649,25.0,millions_usd,2025,dollar_amounts,and 21% of those exceeding $30 billion invest $10 million–$25 million in rai. these findings suggest...,Passed all validation checks,0.85,KEEP,
5650,500.0,millions_usd,2025,revenue,"s from 1,500 organizations, each with revenues of at least $500 million, were collected from 20 coun...",Passed all validation checks,0.85,KEEP,
5651,252.3,billions_usd,2024,investment,"ecord high with 26% growth. corporate ai investment reached $252.3 billion in 2024, with private inv...",Duplicate record (keeping first occurrence),0.9,REMOVE,5609.0
5652,33.9,billions_usd,2024,investment,"funding soars. private investment in generative ai reached $33.9 billion in 2024, up 18.7% from 2023...",Duplicate record (keeping first occurrence),0.9,REMOVE,5610.0
5653,109.1,billions_usd,2024,investment,"lobal ai private investment. u.s. private ai investment hit $109.1 billion in 2024, nearly 12 times ...",Duplicate record (keeping first occurrence),0.9,REMOVE,5599.0
5654,9.3,billions_usd,2024,dollar_amounts,"109.1 billion in 2024, nearly 12 times higher than china’s $9.3 billion and 24 times the u.k.’s $4.5...",Duplicate record (keeping first occurrence),0.9,REMOVE,5612.0
5655,4.5,billions_usd,2025,dollar_amounts,es higher than china’s $9.3 billion and 24 times the u.k.’s $4.5 billion. the gap is even more prono...,Duplicate record (keeping first occurrence),0.9,REMOVE,5601.0
5656,25.4,billions_usd,2023,dollar_amounts,"ined total of china and the european union plus the u.k. by $25.4 billion, expanding on its $21.8 bi...",Duplicate record (keeping first occurrence),0.9,REMOVE,5614.0
5657,21.8,billions_usd,2023,dollar_amounts,"ean union plus the u.k. by $25.4 billion, expanding on its $21.8 billion gap in 2023. 5. ai is begin...",Duplicate record (keeping first occurrence),0.9,REMOVE,5615.0
5658,1.6,billions_usd,2025,energy,tracting interest in nuclear energy. microsoft announced a $1.6 billion deal to revive the three mil...,Duplicate record (keeping first occurrence),0.9,REMOVE,5616.0
5659,35.0,billions_usd,2024,dollar_amounts,"e event type image jan 16, 2024 synopsys acquires ansys for $35 billion to improve silicon-to-system...",Passed all validation checks,0.85,KEEP,
5660,2.0,billions_usd,2024,revenue,"psys, 2024 feb 21, 2024 reports claim that openai surpassed $2 billion in annualized revenue in dece...",Passed all validation checks,0.85,KEEP,
5661,675.0,millions_usd,2024,investment,"24 feb 29, 2024 figure ai, a humanoid robot startup, raises $675 million at a valuation of $2.6 bill...",Passed all validation checks,0.85,KEEP,
5662,2.6,billions_usd,2025,investment,"anoid robot startup, raises $675 million at a valuation of $2.6 billion. investment/funding figure 4...",Passed all validation checks,0.85,KEEP,
5663,650.0,millions_usd,2025,dollar_amounts,"t of inflection ai’s staff, including cofounders, and pays $650 million to license inflection’s ai m...",Duplicate record (keeping first occurrence),0.9,REMOVE,5635.0
5664,1.1,billions_usd,2025,investment,"4 coreweave, an ai cloud infrastructure startup, secures a $1.1 billion funding round at a valuation...",Passed all validation checks,0.85,KEEP,
5665,19.0,billions_usd,2024,investment,"p, secures a $1.1 billion funding round at a valuation of $19 billion. investment/funding figure 4.1...",Passed all validation checks,0.85,KEEP,
5666,1.0,billions_usd,2024,investment,"view may 21, 2024 scale ai, a data-labeling startup, raises $1 billion and reaches a valuation of $1...",Passed all validation checks,0.85,KEEP,
5667,13.8,billions_usd,2024,investment,"ling startup, raises $1 billion and reaches a valuation of $13.8 billion. investment/funding figure ...",Passed all validation checks,0.85,KEEP,
