original_id,value,unit,year,metric_type,context_preview,reason,confidence
5396,36.0,percentage,2025,growth_rate,"ile (leftmost side), who see an increase of 0.5 in rph, or 36%. in contrast, ai assistance does not ...",Passed all validation checks,0.85
5397,38.0,percentage,2025,percentages,"to that agent in that month. the average adherence rate is 38%, with an interquartile range of 23%–5...",Passed all validation checks,0.85
5398,23.0,percentage,2025,percentages,"rage adherence rate is 38%, with an interquartile range of 23%–50%: agents frequently disregard rec-...",Passed all validation checks,0.85
5399,50.0,percentage,2025,percentages,"adherence rate is 38%, with an interquartile range of 23%–50%: agents frequently disregard rec- omme...",Passed all validation checks,0.85
5401,46.0,percentage,2023,percentages,github copilot reports that individual developers use 27%–46% of code recommendations ( zhao 2023 )....,Passed all validation checks,0.85
5402,10.0,percentage,2025,productivity,"rence. among agents in the lowest quintile, we still see a 10% gain in productivity, but for agents ...",Passed all validation checks,0.85
5403,25.0,percentage,2025,percentages,"tile, the estimated impact is over twice as high, close to 25%. online appendix figure a.x shows the...",Passed all validation checks,0.85
5408,37.0,percentage,2025,percentages,0% for those with more than a year of tenure compared with 37% for those with less than three months...,Passed all validation checks,0.85
5411,100.0,percentage,2025,percentages,"ber of chats without recommendations, increasing to almost 100%. records from our ai ﬁrm indicate th...",Passed all validation checks,0.85
5416,90.0,percentage,2025,percentages,"of all conversations, and the top 16 topics represent over 90% of all chats. to evaluate the impact ...",Passed all validation checks,0.85
5422,14.0,percentage,2025,percentages,t on 08 july 2025 926 the quarterly journal of economics 14% reduction from the pretreatment means f...,Passed all validation checks,0.85
5423,11.0,percentage,2025,percentages,"r those topics. fi- nally, we see a smaller four-minute or 11% decrease for the most rare problems. ...",Passed all validation checks,0.85
5427,1.0,percentage,2025,growth_rate,tes agent sentiments increase by only 0.02 points or about 1% of a standard deviation. downloaded fr...,Passed all validation checks,0.85
5428,6.0,percentage,2025,percentages,"escalation. relative to a base- line rate of approximately 6%, these coefﬁcients suggest that ai ass...",Passed all validation checks,0.85
5433,12.0,percentage,2025,employment,"ould ﬁeld the same number of customer- support issues with 12% fewer worker-hours. conversely, in- d...",Passed all validation checks,0.85
5434,5.0,millions_usd,2025,cost,"trained on 300 billion tokens, and incurred approximately $5 million in training costs. the gpt-4 mo...",Passed all validation checks,0.85
5435,65.0,millions_usd,2020,cost,13 trillion tokens at an estimated computing-only cost of $65 million ( li 2020 ; brown et al. 2020 ...,Passed all validation checks,0.85
5436,10.0,usd,2025,cost,"of agents in contact centers leave each year, costing ﬁrms $10,000 to $20,000 per agent in the unite...",Passed all validation checks,0.85
5437,20.0,usd,2025,cost,"n contact centers leave each year, costing ﬁrms $10,000 to $20,000 per agent in the united states ( ...",Passed all validation checks,0.85
5438,65.0,number,2020,cost,rained on 13 trillion tokens at an estimated computing-only cost of $65 million ( li 2020 ; brown et...,Passed all validation checks,0.85
5439,50.0,number,2025,employment,"ata ﬁrm conducted a pilot analysis involving approximately 50 workers, with about half randomized in...",Passed all validation checks,0.85
5440,300.0,number,2025,cost,"gpt-3 model included 175 billion parameters, was trained on 300 billion tokens, and incurred approxi...",Passed all validation checks,0.85
